BiggerPockets Podcast 387: Time Freedom Through 7 Deals in Her First 3 Years With Megan Greathouse,/blog/biggerpockets-podcast-387-megan-greathouse,"['\nRich Dad Poor Dad by Robert Kiyosaki', '\nThe Millionaire Next Door by Thomas J. Stanley', '\nThe Total Money Makeover by Dave Ramsey', '\nThe Book On Managing Rental Properties by Heather Turner and Brandon Turner', '\nRetire Early With Real Estate by Chad Carson', '\nThe Alchemist by Paulo Coelho']"
"BiggerPockets Podcast 386.5: Still Doing Deals… Thanks to These 2 Pivots With Marcus Maloney (Part 2, Post-Coronavirus)",/blog/biggerpockets-podcast-386-5-marcus-maloney-part-2,['\nPivot by Jenny Blake']
"BiggerPockets Podcast 386: Starting Out With $200 and Investing for Profit AND Cash Flow With Marcus Maloney (Part 1, Pre-Coronavirus)",/blog/biggerpockets-podcast-386-marcus-maloney-part-1,"['\nRich Dad Poor Dad by Robert Kiyosaki', '\nThe Power of Broke by Daymond John']"
"BiggerPockets Podcast 385: Once Homeless, Now Investing in an Expensive Market (With No Money of His Own) With Greg Gaudet",/blog/biggerpockets-podcast-385-greg-gaudet,"['\nRich Dad Poor Dad by Robert Kiyosaki', '\nThe Millionaire Real Estate Investor by Gary Keller', '\nProfit First by Mike Michalowicz', '\nNever Split the Difference by Chris Voss']"
BiggerPockets Podcast 384.5: 10 Deadly Mistakes Real Estate Investors Make with Brandon and David,/blog/biggerpockets-podcast-384-5-brandon-turner-david-greene,[]
BiggerPockets Podcast 384: Losing $60K on His First 2 Flips So You Won’t Have to With Spencer Cornelia,/blog/biggerpockets-podcast-384-Spencer-Cornelia,"['\nRich Dad Poor Dad by Robert Kiyosaki', '\nThe Book On Rental Property Investing by Brandon Turner', '\nThe Millionaire Real Estate Investor by Gary Keller', '\nRich Dad’s CASHFLOW Quadrant by Robert Kiyosaki', '\nThe ABCs of Real Estate Investing by Ken McElroy', '\nThe Book on Investing in Real Estate with No (and Low) Money Down by Brandon Turner', '\nE-Myth by Michael Gerber', '\nLong-Distance Real Estate Investing by David Greene', '\nTalent is Overrated by Geoff Colvin']"
BiggerPockets Podcast 383: Finding Your Perfect Partner and the Top 6 Factors When Choosing a Market with Ben Leybovich & Sam Grooms,/blog/biggerpockets-podcast-383-ben-leybovich-sam-grooms,"['\nThe Complete Guide to Buying and Selling Apartment Buildings by Steve Berges', '\nHow I Turned $1,000 into Five Million in Real Estate in My Spare Time by William Nickerson', '\nChecklist Manifesto by Atul Gawande', '\nLiving with a SEAL by Jesse Itzler']"
"BiggerPockets Podcast 382.5: Surviving When the BRRRR Hits the Fan with Josiah Smelser (Part 2, Post-Coronavirus)",/blog/biggerpockets-podcast-382-5-josiah-smelser,"['\nDream It and Build It by Josiah Smelser', '\nRich Dad Poor Dad by Robert Kiyosaki', '\nThe Screwtape Letters by C.S. Lewis', '\nThe 4 Hour Body by Tim Ferriss']"
"BiggerPockets Podcast 382: No Money Down BRRRR Investing with Josiah Smelser (Part 1, Recorded Pre-Coronavirus)",/blog/biggerpockets-podcast-382money-brrrr-investing-josiah-smelser-part-1recorded-pre-coronavirus,"['\nWild at Heart by John Eldredge', '\nDream It and Build It by Josiah Smelser', '\nCrushing It in Apartments and Commercial Real Estate by Brian Murray', '\nMeditations by Marcus Aurelius', '\nTurning Pro by Steven Pressfield']"
BiggerPockets Podcast 381: 5 Rules for Investing in a Down Market with Tucker Merrihew,/blog/biggerpockets-podcast-381-tucker-merrihew,"['\nThe House Hacking Strategy by Craig Curelop', '\nThe Book on Investing in Real Estate with No (and Low) Money Down by Brandon Turner', '\nHow to Invest in Real Estate by Brandon Turner and Josh Dorkin', '\nThe Book On Rental Property Investing by Brandon Turner', '\nThe Book on Flipping Houses by J Scott', '\nThe Book on Estimating Rehab Costs by J Scott', '\nFinding and Funding Great Deals by Anson Young', '\nLong-Distance Real Estate Investing by David Greene', '\nBuy, Rehab, Rent, Refinance, Repeat by David Greene', '\nHow to Win Friends & Influence People by Dale Carnegie']"
"BiggerPockets Podcast 380: Profitable Landlording in a Crisis with Mike Butler, Chris Clothier, and Dave Poeppelmeier",/blog/biggerpockets-podcast-380-mike-butler-chris-clothier-dave-poeppelmeier,"['\nLandlording on AutoPilot by Mike Butler', '\nRich Dad Poor Dad by Robert Kiyosaki', '\nWho Moved My Cheese? by Spencer Johnson']"
"BiggerPockets Podcast 379: What the Numbers Reveal About Today’s Rents, Prices, and Top Cashflow Markets with Data Scientist Dave Meyer",/blog/biggerpockets-podcast-379-dave-meyer,"['\nLong-Distance Real Estate Investing by David Greene', '\nStart with Why by Simon Sinek']"
BiggerPockets Podcast 378: A $500M Syndicator’s View on Today’s Market and How to Succeed as a “Hands-Off Investor” with Brian Burke,/blog/biggerpockets-podcast-378-brian-burke,"['\nThe Hands-Off Investor by Brian Burke', '\nBuy, Rehab, Rent, Refinance, Repeat by\xa0David Greene', '\nThe Book on Investing in Real Estate with No (and Low) Money Down by\xa0Brandon Turner', '\nLong-Distance Real Estate Investing by David Greene', '\nUpside by Kenneth Gronbach', '\nRich Dad Poor Dad by Robert Kiyosaki', '\nTED Talks by Chris Anderson']"
